date,daily_case,daily_death,hospitalization
2020/7/14,652,42,1506
2020/7/15,725,24,1489
2020/7/16,640,23,1348
2020/7/17,546,25,1346
2020/7/18,467,9,1321
2020/7/19,413,10,1301
2020/7/20,754,10,1278
2020/7/21,690,25,1188
2020/7/22,748,16,1305
2020/7/23,733,9,1095
2020/7/24,712,32,1018
2020/7/25,492,15,977
2020/7/26,515,7,965
2020/7/27,809,3,945
2020/7/28,781,21,944
2020/7/29,973,29,927
2020/7/30,855,0,898
2020/7/31,624,14,870
2020/8/1,493,11,879
2020/8/2,512,2,847
2020/8/3,937,1,842
2020/8/4,918,17,807
2020/8/5,942,12,805
2020/8/6,979,15,756
2020/8/7,865,5,711
2020/8/8,636,2,650
2020/8/9,557,5,611
2020/8/10,1350,17,714
2020/8/11,1211,11,672
2020/8/12,1094,15,642
2020/8/13,1018,18,652
2020/8/14,1036,10,642
2020/8/15,642,2,630
2020/8/16,529,3,634
2020/8/17,1136,3,626
2020/8/18,925,11,597
2020/8/19,1070,15,571
2020/8/20,1220,6,551
2020/8/21,1005,2,528
2020/8/22,714,17,594
2020/8/23,694,4,522
2020/8/24,1130,3,522
2020/8/25,1060,16,500
2020/8/26,1138,13,485
2020/8/27,1325,10,492
2020/8/28,1384,9,469
2020/8/29,1040,12,478
2020/8/30,977,1,479
2020/8/31,1259,2,495
2020/9/1,1927,2,496
2020/9/2,2618,7,451
2020/9/3,2665,11,468
2020/9/4,2591,9,474
2020/9/5,2190,11,471
2020/9/6,2061,2,483
2020/9/7,3464,2,555
2020/9/8,3004,27,535
2020/9/9,2852,8,557
2020/9/10,3103,13,572
2020/9/11,2857,6,622
2020/9/12,2213,9,663
2020/9/13,1711,5,691
2020/9/14,2900,7,812
2020/9/15,3043,25,891
2020/9/16,3747,17,929
2020/9/17,3940,18,984
2020/9/18,4275,23,1020
2020/9/19,4178,22,1081
2020/9/20,4629,18,1174
2020/9/21,4703,9,1299
2020/9/22,5364,36,1378
2020/9/23,5894,33,1439
2020/9/24,6293,37,1546
2020/9/25,6048,31,1686
2020/9/26,5657,30,1689
2020/9/27,6026,16,1793
2020/9/28,8584,13,1955
2020/9/29,8723,68,1954
2020/9/30,10524,62,2036
2020/10/1,11306,48,2069
2020/10/2,11577,58,2180
2020/10/3,9707,39,2290
2020/10/4,9835,32,2435
2020/10/5,14042,19,2705
2020/10/6,14300,63,2903
2020/10/7,15206,65,3066
2020/10/8,15270,70,3179
2020/10/9,13010,79,3238
2020/10/10,10157,54,3369
2020/10/11,9660,62,3604
2020/10/12,16200,43,3827
2020/10/13,15452,124,4105
2020/10/14,16456,108,4313
2020/10/15,15248,111,4569
2020/10/16,14553,120,4854
2020/10/17,12360,128,5029
2020/10/18,11858,59,5202
2020/10/19,22122,72,5644
2020/10/20,21344,213,6072
2020/10/21,21504,144,6271
2020/10/22,19623,160,6345
2020/10/23,18115,188,6842
2020/10/24,13523,141,7176
2020/10/25,13167,137,7612
2020/10/26,22768,90,7856
2020/10/27,20499,322,8595
2020/10/28,20243,236,9070
2020/10/29,19980,214,9127
2020/10/30,19651,226,9295
2020/10/31,14357,278,9782
2020/11/1,13374,132,9623
2020/11/2,27933,125,10397
2020/11/3,22318,359,10971
2020/11/4,20697,388,11037
2020/11/5,20873,297,10994
2020/11/6,20834,303,11181
2020/11/7,16624,328,11514
